Round,Date,Time,Home,Score,Away,Attendance,Location,Referee
Apertura — First stage,2025-05-17,20:10,Boyacá Chicó,2–1,Alianza,500,Estadio de la Independencia,Alexander Ortiz
Apertura — First stage,2025-05-18,14:00,Rionegro,2–1,Nacional,"5,000",Estadio Arturo Cumplido Sierra,Wilmar Roldán
Apertura — First stage,2025-05-18,18:10,Pasto,2–1,Once Caldas,"4,000",Estadio Departamental Libertad,Andrés Rojas
Apertura — First stage,2025-05-18,20:15,Unión Magdalena,0–2,CD América,"5,000",Estadio Sierra Nevada,Héctor Rivera
Apertura — First stage,2025-05-19,18:00,Llaneros,1–3,Tolima,"7,000",Estadio Bello Horizonte,Wilmar Montaño
Apertura — First stage,2025-05-19,20:05,Independiente,2–0,Pereira,"24,073",Estadio Atanasio Girardot,Bismarks Santiago
Apertura — First stage,2025-05-23,18:30,Pereira,3–0,La Equidad,"6,000",Estadio Hernán Ramírez Villegas,Luis Delgado
Apertura — First stage,2025-05-24,14:00,Envigado,1–2,Llaneros,"2,000",Estadio Polideportivo Sur,Bismarks Santiago
Apertura — First stage,2025-05-24,16:00,Fortaleza FC,0–1,Unión Magdalena,500,Estadio Metropolitano de Techo,Mauricio Palencia
Apertura — First stage,2025-05-25,16:00,Millonarios,4–2,Boyacá Chicó,"26,718",Estadio Nemesio Camacho El Campín,Diego Ruiz
Apertura — First stage,2025-05-25,16:00,Alianza,6–1,Santa Fe,"3,000",Estadio Armando Maestre Pavajeau,Jairo Mayorga
Apertura — First stage,2025-05-25,16:00,Once Caldas,1–0,AD Cali,"25,000",Estadio Palogrande,Luis G. Matorel
Apertura — First stage,2025-05-25,16:00,Nacional,2–3,Junior,"41,743",Estadio Atanasio Girardot,Andrés Rojas
Apertura — First stage,2025-05-25,16:00,Tolima,1–2,Rionegro,"14,000",Estadio Manuel Murillo Toro,Luis Gracia
Apertura — First stage,2025-05-25,16:00,CA Bucaramanga,2–1,Pasto,"3,000",Estadio Américo Montanini,Wilmar Roldán
Apertura — First stage,2025-05-25,16:00,CD América,2–0,Independiente,"16,000",Estadio Olímpico Pascual Guerrero,Carlos Ortega
Apertura — Cuadrangulares,2025-05-31,17:30,Junior,1–1,Tolima,"16,483",Estadio Metropolitano Roberto Meléndez,Wilmar Roldán
Apertura — Cuadrangulares,2025-05-31,19:45,Independiente,1–1,CD América,"30,112",Estadio Atanasio Girardot,Andrés Rojas
Apertura — Cuadrangulares,2025-06-01,16:05,Santa Fe,0–1,Millonarios,"26,292",Estadio Nemesio Camacho El Campín,Carlos Ortega
Apertura — Cuadrangulares,2025-06-01,20:15,Nacional,0–0,Once Caldas,"40,341",Estadio Atanasio Girardot,Bismarks Santiago
Apertura — Cuadrangulares,2025-06-04,18:10,Tolima,1–3,Independiente,"12,000",Estadio Manuel Murillo Toro,Bismarks Santiago
Apertura — Cuadrangulares,2025-06-04,20:15,CD América,2–1,Junior,"15,425",Estadio Olímpico Pascual Guerrero,Diego Ruiz
Apertura — Cuadrangulares,2025-06-05,18:10,Once Caldas,1–2,Santa Fe,"24,000",Estadio Palogrande,Diego Ulloa
